ID,Success,Real label,BooleanExchange S->F,BooleanExchange F->F,BooleanExchange F->S,BooleanExchange S->S,LoopExchange S->F,LoopExchange F->F,LoopExchange F->S,LoopExchange S->S,PermuteStatement S->F,PermuteStatement F->F,PermuteStatement F->S,PermuteStatement S->S,ReorderCondition S->F,ReorderCondition F->F,ReorderCondition F->S,ReorderCondition S->S,SwitchToIf S->F,SwitchToIf F->F,SwitchToIf F->S,SwitchToIf S->S,TryCatch S->F,TryCatch F->F,TryCatch F->S,TryCatch S->S,UnusedStatement S->F,UnusedStatement F->F,UnusedStatement F->S,UnusedStatement S->S,VariableRenaming S->F,VariableRenaming F->F,VariableRenaming F->S,VariableRenaming S->S
b6b59b189c1274ae43e844863c7a2468c0e16b4d_TestArrayStack.java,1,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6f129ef861152c94e953c8151b2d09ce9482dc68_TestAll.java,0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
6f129ef861152c94e953c8151b2d09ce9482dc68_TestFastHashMap.java,1,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6f129ef861152c94e953c8151b2d09ce9482dc68_TestFastTreeMap.java,1,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2a069edb7e7c46ef3c1f56e8fb6cadb779ed2e42_CursorableLinkedList.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284b6f5477838fce398036497e1acc206b1eaaeb_TestAll.java,1,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ea64efd6dc61cd9c9b1207d2da37fdbea14d6b50_ArrayIterator.java,1,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
530049b41c9f42e11144fbad4d1fec65ff0956e9_TestArrayIterator.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,,,
b0a305ab056fe78fdfaff28ede3931f6c4b640e6_LRUMap.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f22d9bce8c560fcab3c564a8acfabd7b2f53672d_LRUMap.java,1,0.0,,,,,,,,,,,,,0.0,0.0,0.0,6.0,,,,,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
