ID,Success,Real label,BooleanExchange S->F,BooleanExchange F->F,BooleanExchange F->S,BooleanExchange S->S,LoopExchange S->F,LoopExchange F->F,LoopExchange F->S,LoopExchange S->S,PermuteStatement S->F,PermuteStatement F->F,PermuteStatement F->S,PermuteStatement S->S,ReorderCondition S->F,ReorderCondition F->F,ReorderCondition F->S,ReorderCondition S->S,SwitchToIf S->F,SwitchToIf F->F,SwitchToIf F->S,SwitchToIf S->S,TryCatch S->F,TryCatch F->F,TryCatch F->S,TryCatch S->S,UnusedStatement S->F,UnusedStatement F->F,UnusedStatement F->S,UnusedStatement S->S,VariableRenaming S->F,VariableRenaming F->F,VariableRenaming F->S,VariableRenaming S->S
97b5ac9b4aa5827f5550a0f254646c1d5267c6a6_CharSetUtils.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
e0340c896977e4dea905370bd8d7db05f1ad2b3f_NestableRuntimeException.java,1,0.0,,,,,,,,,,,,,0.0,0.0,0.0,8.0,,,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,9.0
6053ce341fc1f6b4e3c5e2a56535d07fb2bc505d_ExceptionTestSuite.java,1,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
f740ef88932fe3001f1202584686a6486327cf44_ExceptionUtils.java,1,0.0,,,,,,,,,,,,,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0
10c96491356d449b54a478cb3b2f3c3e2917d220_NestableDelegate.java,0,0.0,,,,,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,,,,,0.0,0.0,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,25.0,0.0
90b54cc01be3fdf92ec16815b89c72238abf7515_ExceptionUtils.java,1,0.0,,,,,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
7cc9255061f494df93ba4a522f56aa9bab304842_NestableError.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3c58a132695f82727f0fa247d1974b9f818f501e_Nestable.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aea52bdea531f724c47589b2fafce2605161f591_CompareToBuilder.java,0,0.0,,,,,0.0,0.0,1.0,0.0,,,,,0.0,0.0,8.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0
992105bfd3b69d0efc39c04f8df03861a677785c_StandardToStringStyle.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
