parent_changed_lines,parent_used_lines,parent_changed_used_lines,parent_methods_used_lines,parent_methods_changed_used_lines,parent_methods_count,parent_lines_hunks,parent_used_lines_hunks,used_added_lines+used_removed_lines,used_added_lines-used_removed_lines,parent_Invocation,parent_WhileStatement,parent_Expression,parent_Member,parent_TypeArgument,parent_TypeDeclaration,parent_ThrowStatement,parent_BreakStatement,parent_SwitchStatement,parent_LocalVariableDeclaration,parent_AnnotationDeclaration,parent_InnerClassCreator,parent_ArraySelector,parent_ForStatement,parent_InferredFormalParameter,parent_MemberReference,parent_ElementArrayValue,parent_InterfaceDeclaration,parent_AnnotationMethod,parent_ExplicitConstructorInvocation,parent_CatchClauseParameter,parent_BlockStatement,parent_FieldDeclaration,parent_TypeParameter,parent_Declaration,parent_ArrayCreator,parent_EnhancedForControl,parent_ContinueStatement,parent_TryResource,parent_Creator,parent_VariableDeclarator,parent_ReferenceType,parent_EnumBody,parent_MethodReference,parent_CatchClause,parent_BinaryOperation,parent_ArrayInitializer,parent_Type,parent_MethodInvocation,parent_Assignment,parent_StatementExpression,parent_ConstantDeclaration,parent_Annotation,parent_PackageDeclaration,parent_IfStatement,parent_SwitchStatementCase,parent_ClassReference,parent_FormalParameter,parent_EnumDeclaration,parent_CompilationUnit,parent_EnumConstantDeclaration,parent_VoidClassReference,parent_TryStatement,parent_Primary,parent_SuperConstructorInvocation,parent_VariableDeclaration,parent_BasicType,parent_SuperMethodInvocation,parent_Cast,parent_ReturnStatement,parent_ElementValuePair,parent_ClassCreator,parent_Literal,parent_ForControl,parent_TernaryExpression,parent_MethodDeclaration,parent_Import,parent_Documented,parent_Statement,parent_This,parent_AssertStatement,parent_ConstructorDeclaration,parent_SuperMemberReference,parent_LambdaExpression,parent_SynchronizedStatement,parent_DoStatement,parent_ClassDeclaration,delta_Invocation,delta_WhileStatement,delta_Expression,delta_Member,delta_TypeArgument,delta_TypeDeclaration,delta_ThrowStatement,delta_BreakStatement,delta_SwitchStatement,delta_LocalVariableDeclaration,delta_AnnotationDeclaration,delta_InnerClassCreator,delta_ArraySelector,delta_ForStatement,delta_InferredFormalParameter,delta_MemberReference,delta_ElementArrayValue,delta_InterfaceDeclaration,delta_AnnotationMethod,delta_ExplicitConstructorInvocation,delta_CatchClauseParameter,delta_BlockStatement,delta_FieldDeclaration,delta_TypeParameter,delta_Declaration,delta_ArrayCreator,delta_EnhancedForControl,delta_ContinueStatement,delta_TryResource,delta_Creator,delta_VariableDeclarator,delta_ReferenceType,delta_EnumBody,delta_MethodReference,delta_CatchClause,delta_BinaryOperation,delta_ArrayInitializer,delta_Type,delta_MethodInvocation,delta_Assignment,delta_StatementExpression,delta_ConstantDeclaration,delta_Annotation,delta_PackageDeclaration,delta_IfStatement,delta_SwitchStatementCase,delta_ClassReference,delta_FormalParameter,delta_EnumDeclaration,delta_CompilationUnit,delta_EnumConstantDeclaration,delta_VoidClassReference,delta_TryStatement,delta_Primary,delta_SuperConstructorInvocation,delta_VariableDeclaration,delta_BasicType,delta_SuperMethodInvocation,delta_Cast,delta_ReturnStatement,delta_ElementValuePair,delta_ClassCreator,delta_Literal,delta_ForControl,delta_TernaryExpression,delta_MethodDeclaration,delta_Import,delta_Documented,delta_Statement,delta_This,delta_AssertStatement,delta_ConstructorDeclaration,delta_SuperMemberReference,delta_LambdaExpression,delta_SynchronizedStatement,delta_DoStatement,delta_ClassDeclaration,ast_diff_condBlockOthersAdd,ast_diff_condBlockRetAdd,ast_diff_condBlockExcAdd,ast_diff_condBlockRem,ast_diff_expLogicExpand,ast_diff_expLogicReduce,ast_diff_expLogicMod,ast_diff_expArithMod,ast_diff_wrapsIf,ast_diff_wrapsIfElse,ast_diff_wrapsElse,ast_diff_wrapsTryCatch,ast_diff_wrapsMethod,ast_diff_wrapsLoop,ast_diff_unwrapIfElse,ast_diff_unwrapMethod,ast_diff_unwrapTryCatch,ast_diff_wrongVarRef,ast_diff_wrongMethodRef,ast_diff_missNullCheckP,ast_diff_missNullCheckN,ast_diff_singleLine,ast_diff_copyPaste,ast_diff_constChange,ast_diff_codeMove,ast_diff_notClassified,ast_diff_binOperatorModif,ast_diff_addassignment,ast_diff_assignAdd,ast_diff_assignRem,ast_diff_assignExpChange,ast_diff_condBranIfAdd,ast_diff_condBranIfElseAdd,ast_diff_condBranElseAdd,ast_diff_condBranCaseAdd,ast_diff_condBranRem,ast_diff_condExpExpand,ast_diff_condExpRed,ast_diff_condExpMod,ast_diff_loopAdd,ast_diff_loopRem,ast_diff_loopCondChange,ast_diff_loopInitChange,ast_diff_mcAdd,ast_diff_mcRem,ast_diff_mcRepl,ast_diff_mcMove,ast_diff_mcParAdd,ast_diff_mcParRem,ast_diff_mcParSwap,ast_diff_mcParValChange,ast_diff_mdAdd,ast_diff_mdRem,ast_diff_mdRen,ast_diff_mdParAdd,ast_diff_mdParRem,ast_diff_mdParTyChange,ast_diff_mdRetTyChange,ast_diff_mdModChange,ast_diff_mdOverride,ast_diff_objInstAdd,ast_diff_objInstRem,ast_diff_objInstMod,ast_diff_exTryCatchAdd,ast_diff_exTryCatchRem,ast_diff_exThrowsAdd,ast_diff_exThrowsRem,ast_diff_retBranchAdd,ast_diff_retRem,ast_diff_retExpChange,ast_diff_varAdd,ast_diff_varRem,ast_diff_varTyChange,ast_diff_varModChange,ast_diff_varReplVar,ast_diff_varReplMc,ast_diff_tyAdd,ast_diff_tyImpInterf,parent_LOC,delta_LOC,parent_CLOC,delta_CLOC,parent_LLOC,delta_LLOC,parent_LDC,delta_LDC,parent_NOS,delta_NOS,parent_TLLOC,delta_TLLOC,parent_NLE,delta_NLE,parent_NOI,delta_NOI,parent_NUMPAR,delta_NUMPAR,parent_LLDC,delta_LLDC,parent_NII,delta_NII,parent_NL,delta_NL,parent_TLOC,delta_TLOC,parent_CLLC,delta_CLLC,parent_TCLOC,delta_TCLOC,parent_DLOC,delta_DLOC,parent_NLM,delta_NLM,parent_NPA,delta_NPA,parent_TNLPM,delta_TNLPM,parent_TNLA,delta_TNLA,parent_NLA,delta_NLA,parent_TNLPA,delta_TNLPA,parent_NM,delta_NM,parent_TNG,delta_TNG,parent_NLPM,delta_NLPM,parent_TNM,delta_TNM,parent_NLS,delta_NLS,parent_NG,delta_NG,parent_TNLG,delta_TNLG,parent_RFC,delta_RFC,parent_NLG,delta_NLG,parent_TNLS,delta_TNLS,parent_TNA,delta_TNA,parent_NLPA,delta_NLPA,parent_NPM,delta_NPM,parent_TNPM,delta_TNPM,parent_TNS,delta_TNS,parent_NA,delta_NA,parent_NS,delta_NS,parent_TNLM,delta_TNLM,parent_TNPA,delta_TNPA,commit insert bug?,ID
1,203,1,192,0,31,1,1,1,-1,0,1,0,0,0,0,0,0,0,21,0,0,0,3,0,144,0,0,0,0,0,14,0,0,0,1,2,1,0,0,21,0,0,0,0,25,0,0,99,3,47,0,0,0,6,0,0,0,0,0,0,0,3,0,0,1,0,0,3,21,0,0,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,13.0,503.0,13.0,194.0,0.0,0.0,0.0,105.0,0.0,194.0,0.0,4.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,717.0,13.0,0.0,0.0,503.0,13.0,471.0,13.0,31.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,6.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,31.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0,ec1f4d743cfbc0c4a7dfd6ead82499e2f303f84a_FieldUtils.java
0,2247,0,2228,0,186,0,0,4,4,0,15,0,0,0,0,7,6,1,225,0,0,84,65,0,1873,0,0,0,0,0,482,0,0,0,16,4,13,0,0,266,0,0,0,0,752,0,0,646,147,202,0,0,0,378,3,0,0,0,0,0,0,0,0,0,57,0,0,0,450,0,39,749,61,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7243.0,19.0,4814.0,15.0,2238.0,3.0,532.0,0.0,1484.0,1.0,2238.0,3.0,5.0,0.0,0.0,0.0,403.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,7243.0,19.0,0.0,0.0,4814.0,15.0,4636.0,15.0,186.0,1.0,5.0,0.0,176.0,1.0,7.0,0.0,7.0,0.0,5.0,0.0,186.0,1.0,3.0,0.0,176.0,1.0,186.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,186.0,1.0,3.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,176.0,1.0,176.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,186.0,1.0,5.0,0.0,1,cc6a92b1a5bb1a9a1d38d4bce67644dbb1b2b349_StringUtils.java
0,359,0,355,0,40,0,0,33,33,0,0,0,0,0,0,21,5,1,19,0,0,0,3,0,188,0,0,0,0,0,68,0,0,0,0,3,0,0,0,19,0,0,0,3,130,0,0,51,1,2,0,0,0,60,5,0,0,0,0,0,0,3,0,0,0,0,0,0,77,0,21,166,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,1,0,13,0,0,0,0,0,8,0,0,0,0,1,0,0,0,2,0,0,0,1,6,0,0,2,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,5,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.0,76.0,663.0,39.0,357.0,33.0,84.0,14.0,191.0,19.0,357.0,33.0,2.0,1.0,0.0,0.0,70.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1053.0,76.0,0.0,0.0,663.0,39.0,647.0,34.0,40.0,2.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,0.0,0.0,40.0,2.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,0.0,0.0,0,0de9354f505f415c7ad35fe735cebab4900a698a_BooleanUtils.java
10,365,10,361,10,40,3,3,14,-6,0,0,0,0,0,0,21,5,1,19,0,0,0,3,0,189,0,0,0,0,0,71,0,0,0,0,3,0,0,0,19,0,0,0,3,132,0,0,51,0,2,0,0,0,62,5,0,0,0,0,0,0,3,0,0,0,0,0,0,78,0,21,169,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,1,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1073.0,-20.0,677.0,-14.0,363.0,-6.0,84.0,0.0,194.0,-3.0,363.0,-6.0,3.0,-1.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1073.0,-20.0,0.0,0.0,677.0,-14.0,658.0,-11.0,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0,aadbea734d78e8d535d3a5837643336ca1384bd2_BooleanUtils.java
1,2247,1,2228,0,186,1,1,2,0,0,15,0,0,0,0,7,6,1,225,0,0,84,65,0,1873,0,0,0,0,0,482,0,0,0,16,4,13,0,0,266,0,0,0,0,752,0,0,646,147,202,0,0,0,378,3,0,0,0,0,0,0,0,0,0,57,0,0,0,450,0,39,749,61,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7243.0,0.0,4814.0,0.0,2238.0,0.0,532.0,0.0,1484.0,0.0,2238.0,0.0,5.0,0.0,0.0,0.0,403.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7243.0,0.0,0.0,0.0,4814.0,0.0,4636.0,0.0,186.0,0.0,5.0,0.0,176.0,0.0,7.0,0.0,7.0,0.0,5.0,0.0,186.0,0.0,3.0,0.0,176.0,0.0,186.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,186.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,176.0,0.0,176.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,186.0,0.0,5.0,0.0,0,f9b486a17171359e880bfa91a14602fe95a5dbf8_StringUtils.java
1,94,1,84,0,8,1,1,1,-1,0,0,0,0,0,0,2,0,0,8,0,0,0,1,0,49,0,0,0,0,0,6,0,0,0,0,1,0,0,0,8,0,0,0,1,9,0,0,35,8,14,0,1,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,1,9,0,2,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,0.0,161.0,0.0,86.0,0.0,24.0,0.0,41.0,0.0,86.0,0.0,4.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,236.0,0.0,0.0,0.0,161.0,0.0,150.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0,877438dd76e4de8d68260a1d1bee12cd31bd9c06_ConstructorUtils.java
2,226,2,208,0,15,2,2,3,-1,0,2,0,0,0,0,4,0,0,27,0,0,5,4,0,140,0,0,0,0,0,22,0,0,0,0,1,4,0,0,28,0,0,0,2,30,0,0,91,17,24,0,0,0,16,0,0,0,0,0,0,0,4,0,0,2,0,0,0,22,0,4,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,0.0,283.0,0.0,210.0,0.0,57.0,0.0,112.0,0.0,210.0,0.0,3.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,492.0,0.0,0.0,0.0,283.0,0.0,263.0,0.0,15.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,6.0,0.0,13.0,0.0,15.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,15.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0,877438dd76e4de8d68260a1d1bee12cd31bd9c06_MethodUtils.java
75,247,75,239,75,31,20,20,106,-44,0,1,0,0,0,0,24,0,0,21,0,0,0,3,0,143,0,0,0,0,0,38,0,0,0,1,2,1,0,0,21,0,0,0,0,58,0,0,71,3,23,0,0,0,30,0,0,0,0,0,0,0,3,0,0,1,0,0,4,21,0,24,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-24,0,0,0,0,0,0,0,0,0,0,0,0,0,-33,0,0,28,0,24,0,0,0,-24,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-24,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,4.0,11.0,13.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.0,-9.0,465.0,38.0,241.0,-47.0,26.0,-26.0,129.0,-24.0,241.0,-47.0,4.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,726.0,-9.0,0.0,0.0,465.0,38.0,433.0,38.0,31.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,6.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,31.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1,b2ad5e80bbed74153dd45a871041d04294c2bdb9_FieldUtils.java
44,253,44,236,44,15,14,14,61,-27,0,2,0,0,0,0,4,2,0,27,0,0,5,4,0,155,0,0,0,0,0,35,0,0,0,0,1,4,0,0,28,0,0,0,2,43,0,0,79,19,26,0,0,0,29,0,0,0,0,0,0,0,4,0,0,2,0,0,0,20,0,4,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,-15,0,0,0,0,0,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,0,0,12,-2,-2,0,0,0,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,-28.0,281.0,2.0,238.0,-28.0,73.0,-16.0,127.0,-15.0,238.0,-28.0,3.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,520.0,-28.0,0.0,0.0,281.0,2.0,261.0,2.0,15.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,6.0,0.0,13.0,0.0,15.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,15.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0,b2ad5e80bbed74153dd45a871041d04294c2bdb9_MethodUtils.java
0,2066,0,2031,0,223,0,0,6,6,0,11,0,0,0,0,11,9,0,197,0,0,122,75,0,1879,0,0,0,0,0,384,0,0,0,40,18,1,0,0,242,0,0,0,1,696,0,0,406,119,206,0,6,0,286,0,0,0,0,0,0,0,1,0,0,57,0,0,69,417,0,32,624,57,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5783.0,20.0,3514.0,13.0,2055.0,6.0,1112.0,0.0,1337.0,3.0,2055.0,6.0,3.0,0.0,0.0,0.0,414.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,5783.0,20.0,0.0,0.0,3514.0,13.0,3486.0,13.0,223.0,1.0,20.0,0.0,218.0,1.0,20.0,0.0,20.0,0.0,20.0,0.0,223.0,1.0,1.0,0.0,218.0,1.0,223.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,223.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,218.0,1.0,218.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,223.0,1.0,20.0,0.0,0,a9ae686ec85e4fc326f56a23de8cd0481f7d9c89_ArrayUtils.java
