ID,Success,Real label,BooleanExchange S->F,BooleanExchange F->F,BooleanExchange F->S,BooleanExchange S->S,LoopExchange S->F,LoopExchange F->F,LoopExchange F->S,LoopExchange S->S,PermuteStatement S->F,PermuteStatement F->F,PermuteStatement F->S,PermuteStatement S->S,ReorderCondition S->F,ReorderCondition F->F,ReorderCondition F->S,ReorderCondition S->S,SwitchToIf S->F,SwitchToIf F->F,SwitchToIf F->S,SwitchToIf S->S,TryCatch S->F,TryCatch F->F,TryCatch F->S,TryCatch S->S,UnusedStatement S->F,UnusedStatement F->F,UnusedStatement F->S,UnusedStatement S->S,VariableRenaming S->F,VariableRenaming F->F,VariableRenaming F->S,VariableRenaming S->S
200f7af77030476041699234499cdcd78f21f2a3_WikiEngine.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1409ef403a95ebe588a56f52635242caaa06a0a_TestEngine.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361cbe0ba9e7b4d5d05533b0971d7aaef0feb054_WikiEngine.java,1,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0
ddc4b36c68a3effed7f87f56a7d60bac1c82b03f_Release.java,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928b7378c7879249752c28b45934fc5cfb91305a_TranslatorReader.java,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,41.0,,,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,21.0
3a3cedefa9118b7e23f7e692070a9a80b154dd75_FileSystemProvider.java,0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,0.0
3a3cedefa9118b7e23f7e692070a9a80b154dd75_Release.java,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1bb3d64730922e0ed2c09b097a16bf4981bd33b7_WikiEngine.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ff382d0b679e1cf7f515644f683f0d1c327aaeb_RCSFileProvider.java,0,1.0,,,,,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0,0.0,0.0,,,,,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,44.0,1.0,0.0
c7c0a1601d79f9d02c5fe01808f012714d0c34c3_TranslatorReader.java,1,0.0,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,23.0,,,,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0
1817cf7d60c87f0b3b1468ae60ea865c95d761ff_Release.java,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee1a042a2f386e636282f51ec3a2073bd4a1753e_NoRequiredPropertyException.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee1a042a2f386e636282f51ec3a2073bd4a1753e_PageTimeComparator.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032a3b09d58aa0c6c5125d9cc01f71dc1d285fb4_RCSFileProvider.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07a64f5c5be00ef89fe7604a415fc3ba8991582f_Release.java,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2e8c9e4f4aff2899d98f59c93a0e3b6cd9dc427_Release.java,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0ef598d9db6b5ce4d0f5fd7c351eae8f93f77a1_RCSFileProvider.java,1,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,28.0
0c7a1b306ec5efc01a6940e8164c48fd81a0a0f7_TranslatorReader.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a23931df5437a24d001c4bbb8d7f549ccef57ef1_RCSFileProvider.java,0,1.0,,,,,0.0,2.0,0.0,0.0,,,,,0.0,14.0,0.0,0.0,,,,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0
d176813bd81cc3aca1eade13b3190327ed46f908_FileSystemProvider.java,1,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0
95888e880329a68d7e668c79bd187bb710ab22d1_Release.java,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2624f61da9aa260a3746ec0f701b03b6f9ab16ca_Release.java,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a073e2273368abe71cc0c684b7bcb2e8049a9fa_Release.java,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00b33b80fde6c9effc9f3d831bfdce1bc91def25_WikiEngine.java,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b96501ab256e08ebb83fcc122701bdf63615656c_WikiEngine.java,0,1.0,,,,,,,,,,,,,0.0,3.0,0.0,0.0,,,,,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0
1b04609c4a6cc4b6a81bc5b6c4b3c70f85bc5fca_TextUtil.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3642499730e4f84b26b3e544cfa4bdf9f704573_PluginManager.java,1,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0
91c1da77506b00211054e0c4fc329bd1018b1dd7_ReferringPagesPlugin.java,1,0.0,,,,,,,,,,,,,0.0,0.0,0.0,4.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0
dbde115e7e286bdbde2533e429050a1768ce0cd6_ReferenceManager.java,1,0.0,,,,,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,6.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0
f868b295d6ac9f0e3b4e58bf05dd02b8e49d47bc_RCSFileProvider.java,1,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0
15703bc285b239843788f7c961df26933d370ef7_Release.java,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9f21a36e29a5e6df41ef62f42cb2794ec1da7fb5_AbstractReferralPlugin.java,1,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,,,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0
28ace315f739e6ddd58bb83963b33ffed3764e39_UndefinedPagesPlugin.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b57e8946fce0d40a6435d917be89fbf2dd93b114_WikiPageProvider.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211c70edc6b8639dbb867ceb98e9e6bacb18698f_CachingProvider.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7919c7170cccfd6333eda6962d345e79a35eb438_RCSFileProvider.java,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,,,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,47.0
39d7097ea39186f85da4b0569fcc3377875cb658_WikiEngine.java,1,0.0,,,,,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,11.0,,,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,17.0
f689cfe3d0a0173e1e3224f20f2cf004b443ac9b_Release.java,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4d6fd613fb13a42deb436b4341db765ac2a9ac0_QueryItem.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe4b093bfef639392e88a7503391dd3282d138e8_RCSFileProvider.java,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0
