ID,Success,Real label,BooleanExchange S->F,BooleanExchange F->F,BooleanExchange F->S,BooleanExchange S->S,LoopExchange S->F,LoopExchange F->F,LoopExchange F->S,LoopExchange S->S,PermuteStatement S->F,PermuteStatement F->F,PermuteStatement F->S,PermuteStatement S->S,ReorderCondition S->F,ReorderCondition F->F,ReorderCondition F->S,ReorderCondition S->S,SwitchToIf S->F,SwitchToIf F->F,SwitchToIf F->S,SwitchToIf S->S,TryCatch S->F,TryCatch F->F,TryCatch F->S,TryCatch S->S,UnusedStatement S->F,UnusedStatement F->F,UnusedStatement F->S,UnusedStatement S->S,VariableRenaming S->F,VariableRenaming F->F,VariableRenaming F->S,VariableRenaming S->S
a5fb217293e5124ef7f47e0d45c7400bd9286077_KafkaProperties.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c0e190cdefabc7c59b11bbe0de843baec78efe3f_KafkaETLInputFormat.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c0e190cdefabc7c59b11bbe0de843baec78efe3f_KafkaETLJob.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c0e190cdefabc7c59b11bbe0de843baec78efe3f_DataGenerator.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c0e190cdefabc7c59b11bbe0de843baec78efe3f_TextPublisher.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c0e190cdefabc7c59b11bbe0de843baec78efe3f_KafkaRecordWriter.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822963bb9dab9c948ecf850ab25b311e9d9fa7ae_Consumer.java,1,0.0,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
9e44db6af0a91a6071a046eb8b94f042ca223ec9_ConsumerConnector.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842da7bfcddb322266ee27bab279c6f4e05b79cb_Props.java,1,0.0,,,,,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,3.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
ee855fe1aa4a4f549c9d91c81ee53f448828d81a_Producer.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba58c9a7040e778b6c8cf9dc59d97858c2617afe_KafkaETLContext.java,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
f4ccf21d5d65ae313b2a400eb831df6d2d3daa67_KafkaMigrationTool.java,0,1.0,,,,,0.0,1.0,0.0,0.0,,,,,0.0,1.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,6.0,0.0
4be0b1be29e301500515b6c5e00655b06e829045_KafkaMigrationTool.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a40953196e1ef558eb61b78219a20c20a4bd63df_KafkaMigrationTool.java,1,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,34.0
a40953196e1ef558eb61b78219a20c20a4bd63df_Consumer.java,1,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
295734f6abb69d0c184faa0085ca198040b2adbf_KafkaRecordWriter.java,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd262ac708062e502406e8d775f4c9432a5364e7_KafkaMigrationTool.java,1,0.0,,,,,2.0,0.0,0.0,0.0,,,,,11.0,0.0,0.0,0.0,,,,,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0
2d7403174f8fd6d35fce05585a7ee6edb8af7dd4_KafkaOutputFormat.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c39d37e9dd97bf2462ffbd1a96c0b2cb05034bae_KafkaOutputFormat.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb7b45cd5d454d64c3454b01f8f3f1e13ed26ff3_KafkaETLContext.java,1,0.0,,,,,,,,,,,,,0.0,0.0,0.0,2.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0
253f86e31062fb86401abdc13835c251eef47417_MockProducer.java,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253f86e31062fb86401abdc13835c251eef47417_ProducerRecord.java,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253f86e31062fb86401abdc13835c251eef47417_RecordAccumulator.java,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253f86e31062fb86401abdc13835c251eef47417_RecordBatch.java,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253f86e31062fb86401abdc13835c251eef47417_Cluster.java,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253f86e31062fb86401abdc13835c251eef47417_PartitionInfo.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253f86e31062fb86401abdc13835c251eef47417_Protocol.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253f86e31062fb86401abdc13835c251eef47417_MemoryRecords.java,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_MockProducer.java,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_ProducerRecord.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_FutureRecordMetadata.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_Sender.java,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_ProducerPerformance.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_Cluster.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_Configurable.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_NotLeaderForPartitionException.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_OffsetOutOfRangeException.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_UnknownServerException.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_JmxReporter.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_KafkaMetric.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_MetricConfig.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_Sensor.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_Avg.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_Histogram.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_Total.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_ByteBufferReceive.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_Type.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_CompressionType.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_LogEntry.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_MemoryRecords.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_Record.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_Time.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6339c19cd06880d32ec9a5ee6b66e7f1488dcf_MockSelector.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962b5475cbccfba7dbc424915fe517123f5e5203_Schema.java,0,0.0,,,,,0.0,1.0,0.0,0.0,,,,,0.0,0.0,5.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0
ef1e30bf5b0aba1758522f8cacd2804d3bfbd4fb_Sender.java,1,0.0,,,,,1.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,5.0,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,8.0
3f0b67b6ac864befccfdd4bb5dee08c0b33c3b43_Selector.java,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
