ID,Success,Real label,BooleanExchange S->F,BooleanExchange F->F,BooleanExchange F->S,BooleanExchange S->S,LoopExchange S->F,LoopExchange F->F,LoopExchange F->S,LoopExchange S->S,PermuteStatement S->F,PermuteStatement F->F,PermuteStatement F->S,PermuteStatement S->S,ReorderCondition S->F,ReorderCondition F->F,ReorderCondition F->S,ReorderCondition S->S,SwitchToIf S->F,SwitchToIf F->F,SwitchToIf F->S,SwitchToIf S->S,TryCatch S->F,TryCatch F->F,TryCatch F->S,TryCatch S->S,UnusedStatement S->F,UnusedStatement F->F,UnusedStatement F->S,UnusedStatement S->S,VariableRenaming S->F,VariableRenaming F->F,VariableRenaming F->S,VariableRenaming S->S
88d58477d2bbe6adea5a315c6b1bd833949ee57c_Matcher.java,1,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,33.0,,,,,0.0,0.0,0.0,9.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,44.0
c6a0b5f55b07dee08d1a41ca4a463f6753bd705f_Matcher.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93396a759a118f484e2ef1693cf011cb9e32aadb_Segment.java,1,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
83c50eb811bc1de46d78f751f1acfa3d1306a869_Builder.java,1,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,17.0
83c50eb811bc1de46d78f751f1acfa3d1306a869_Extractor.java,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,8.0,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,14.0
92350ed7b5ba3dd7b5c2e4226df9a245242f27d6_Expander.java,1,0.0,,,,,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,3.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0
92350ed7b5ba3dd7b5c2e4226df9a245242f27d6_Matcher.java,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0,,,,,0.0,11.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,45.0,2.0,0.0
f1c242025e67b02917ab7a781875cf557622bf7c_Matcher.java,1,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,,,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,27.0
9bcc9a37a3cddf39e02acb92c4265a8f63bf93b5_HttpClientPivot.java,1,0.0,,,,,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,3.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,6.0
9bcc9a37a3cddf39e02acb92c4265a8f63bf93b5_Expander.java,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,,,,,1.0,0.0,0.0,22.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,31.0
