ID,Success,Real label,BooleanExchange S->F,BooleanExchange F->F,BooleanExchange F->S,BooleanExchange S->S,LoopExchange S->F,LoopExchange F->F,LoopExchange F->S,LoopExchange S->S,PermuteStatement S->F,PermuteStatement F->F,PermuteStatement F->S,PermuteStatement S->S,ReorderCondition S->F,ReorderCondition F->F,ReorderCondition F->S,ReorderCondition S->S,SwitchToIf S->F,SwitchToIf F->F,SwitchToIf F->S,SwitchToIf S->S,TryCatch S->F,TryCatch F->F,TryCatch F->S,TryCatch S->S,UnusedStatement S->F,UnusedStatement F->F,UnusedStatement F->S,UnusedStatement S->S,VariableRenaming S->F,VariableRenaming F->F,VariableRenaming F->S,VariableRenaming S->S
cd1c93af945b0a8be8aa5869092aeccb9d8d822b_WebBeansXMLConfigurator.java,0,0.0,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0
e57e5a9f1d115f3aa517b5987b174573d760a1b2_AbstractInjectable.java,0,0.0,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
af1ce015ea60678b57e12c8d428c39a60b1649d2_DecoratorUtil.java,1,0.0,,,,,1.0,0.0,0.0,0.0,,,,,12.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
5e27a855f5c3f061930ccb43dd280ece5e7195b7_InjectableConstructor.java,0,0.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0
5e27a855f5c3f061930ccb43dd280ece5e7195b7_InjectableMethods.java,0,0.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0
d44d55791b01c77f8ac7be16cd0f62d13c72d613_WebBeansConstants.java,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a74d624cb4a21cc7f8c90bbeb03609d14d328558_DefinitionUtil.java,1,1.0,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
7341cc0c978117bf38025caa0be2e21d03d64546_Component.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220e878d719728a467641a7e08d349be99d6585d_ResolutionUtil.java,1,0.0,,,,,,,,,,,,,4.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
220e878d719728a467641a7e08d349be99d6585d_StereoTypeManager.java,1,0.0,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
220e878d719728a467641a7e08d349be99d6585d_InterceptorUtil.java,0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,0.0,16.0,0.0,0.0,,,,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0
220e878d719728a467641a7e08d349be99d6585d_WebBeansInterceptor.java,0,0.0,,,,,0.0,1.0,0.0,0.0,,,,,0.0,3.0,0.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0
3fd4b4420f13c6967757258d80db6c2e12c61d99_TestContext.java,1,1.0,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,9.0
00f89e6e21f82db58dba78fa4cf4e4354a6b6b97_DefinitionUtil.java,1,1.0,0.0,0.0,0.0,3.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,,,,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,37.0
00f89e6e21f82db58dba78fa4cf4e4354a6b6b97_InjectionResolver.java,1,0.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
00f89e6e21f82db58dba78fa4cf4e4354a6b6b97_XMLInjectionPointModel.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,
f4d56a65ab32cb4a45a0bb7c8a96fcf7271dab17_XMLUtil.java,0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,0.0,37.0,0.0,0.0,,,,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0,0.0,0.0
a0d5d2b9f06373e327a3315c478e8b385c2df7f3_WebBeansScanner.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,
a0d5d2b9f06373e327a3315c478e8b385c2df7f3_DecoratorsManager.java,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
a0d5d2b9f06373e327a3315c478e8b385c2df7f3_DeploymentTypeManager.java,0,0.0,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0
230b0e33fcbec2435543c2531fc1b69bf0ff1bf9_TestContext.java,1,1.0,,,,,,,,,,,,,0.0,0.0,0.0,8.0,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
230b0e33fcbec2435543c2531fc1b69bf0ff1bf9_TestListener.java,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
0ac82f7733a5f5f91d101d0951f2b8c70c791c51_InjectionResolver.java,1,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0
37e8d869fe9d9d7a999ed0d8cabcc829e047d665_WebBeansDecorator.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,
cec7ccf759846d4f00767996623c7f99bc28346f_StereoWithNonScope.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cec7ccf759846d4f00767996623c7f99bc28346f_StereoWithRequestScope.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35f9c14322300d34cec7f7ef55549d626615ca66_AbstractInjectable.java,1,0.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
