ID,Success,Real label,BooleanExchange S->F,BooleanExchange F->F,BooleanExchange F->S,BooleanExchange S->S,LoopExchange S->F,LoopExchange F->F,LoopExchange F->S,LoopExchange S->S,PermuteStatement S->F,PermuteStatement F->F,PermuteStatement F->S,PermuteStatement S->S,ReorderCondition S->F,ReorderCondition F->F,ReorderCondition F->S,ReorderCondition S->S,SwitchToIf S->F,SwitchToIf F->F,SwitchToIf F->S,SwitchToIf S->S,TryCatch S->F,TryCatch F->F,TryCatch F->S,TryCatch S->S,UnusedStatement S->F,UnusedStatement F->F,UnusedStatement F->S,UnusedStatement S->S,VariableRenaming S->F,VariableRenaming F->F,VariableRenaming F->S,VariableRenaming S->S
d91cecf14dcb1b2fa3d3fa83fb1e39bf0dc115ec_TapestryAppInitializer.java,0,0.0,,,,,,,,,,,,,0.0,3.0,0.0,0.0,,,,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0
d91cecf14dcb1b2fa3d3fa83fb1e39bf0dc115ec_InternalModule.java,1,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0
d91cecf14dcb1b2fa3d3fa83fb1e39bf0dc115ec_ServicesMessages.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d91cecf14dcb1b2fa3d3fa83fb1e39bf0dc115ec_RegistryImpl.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411335579dce529210a0224e1829f1ec4b1b4289_SpringMessages.java,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
5b037c191119b816a5fdb52629e995fa77eafea5_ClassFactoryClassPool.java,1,0.0,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
3ac8cd5532f15f0e20a7fb629fe9a7f5dd7bd738_MutableComponentModel.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ac8cd5532f15f0e20a7fb629fe9a7f5dd7bd738_TapestryTestCase.java,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0
3ac8cd5532f15f0e20a7fb629fe9a7f5dd7bd738_ServiceResourcesImpl.java,1,0.0,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
7ee2a75f7e93fe91d08c8ddff1b5a68330daddc6_LocalizationSetterImpl.java,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ee2a75f7e93fe91d08c8ddff1b5a68330daddc6_TapestryIOCModule.java,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0
bd5d04bfb2390a98cc771aef046b53d3bde6cab0_PageLoaderProcessor.java,0,0.0,,,,,,,,,,,,,0.0,11.0,0.0,0.0,,,,,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,36.0,0.0,0.0
a89bde1861c401b2da0adeb13887918f04470fff_Parameter.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a89bde1861c401b2da0adeb13887918f04470fff_AbstractTextField.java,1,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0
a89bde1861c401b2da0adeb13887918f04470fff_FormSupportImpl.java,1,0.0,,,,,,,,,,,,,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
a89bde1861c401b2da0adeb13887918f04470fff_FlashPersistentFieldStrategy.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a89bde1861c401b2da0adeb13887918f04470fff_ComponentInvoker.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a89bde1861c401b2da0adeb13887918f04470fff_PageTesterComponentInvocationMap.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a89bde1861c401b2da0adeb13887918f04470fff_PageTesterSession.java,1,0.0,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0
