ID,Success,Real label,BooleanExchange S->F,BooleanExchange F->F,BooleanExchange F->S,BooleanExchange S->S,LoopExchange S->F,LoopExchange F->F,LoopExchange F->S,LoopExchange S->S,PermuteStatement S->F,PermuteStatement F->F,PermuteStatement F->S,PermuteStatement S->S,ReorderCondition S->F,ReorderCondition F->F,ReorderCondition F->S,ReorderCondition S->S,SwitchToIf S->F,SwitchToIf F->F,SwitchToIf F->S,SwitchToIf S->S,TryCatch S->F,TryCatch F->F,TryCatch F->S,TryCatch S->S,UnusedStatement S->F,UnusedStatement F->F,UnusedStatement F->S,UnusedStatement S->S,VariableRenaming S->F,VariableRenaming F->F,VariableRenaming F->S,VariableRenaming S->S
d7dabee5ce14240f3c5ba2f6147c963d03604dd3_ParserFactory.java,0,0.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,18.0,0.0,0.0
780f13d348531efbda8da1fd11c51039e50f29a9_TXTParser.java,1,0.0,,,,,0.0,0.0,0.0,1.0,,,,,3.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0
780f13d348531efbda8da1fd11c51039e50f29a9_XMLParser.java,1,0.0,,,,,0.0,0.0,0.0,1.0,,,,,5.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0
376241396ff4f055188039211af70d9f76c1d4f1_Metadata.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53f61c8270e23cba731fa7186ba597fcc1f454d6_OpenOfficeParser.java,1,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0
0c203842869b08afd0d3af2a899f6f6fc5cb0f4f_TestParsers.java,1,0.0,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
83cb301f046cf5621e6e71bcd907fef52c491078_TikaConfig.java,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,
bcc9f0c259a03c4195771bbcd443fd302db8eef6_TestParsers.java,1,0.0,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
4707526c2f2dc847c9031174f75f25ee94e54803_HtmlParser.java,1,0.0,,,,,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,5.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0
4707526c2f2dc847c9031174f75f25ee94e54803_OpenOfficeParser.java,1,0.0,,,,,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,5.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0
4707526c2f2dc847c9031174f75f25ee94e54803_TXTParser.java,1,0.0,,,,,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,4.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0
6244bec006f1757753e29c543cf830104441f10d_PDFParser.java,0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0
6244bec006f1757753e29c543cf830104441f10d_RTFParser.java,1,1.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0
522f4f3ac2aa2f25be83242fcd5f778d8105615f_ParserConfig.java,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,
522f4f3ac2aa2f25be83242fcd5f778d8105615f_MsExcelParser.java,1,0.0,,,,,0.0,0.0,0.0,1.0,,,,,1.0,0.0,0.0,3.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0
cfe3527af83d582d12a43a6f42ff30bd2d15a379_TikaException.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfe3527af83d582d12a43a6f42ff30bd2d15a379_Parser.java,0,0.0,,,,,,,,,,,,,0.0,4.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0
cfe3527af83d582d12a43a6f42ff30bd2d15a379_MsPowerPointParser.java,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0
cfe3527af83d582d12a43a6f42ff30bd2d15a379_TestParsers.java,1,0.0,,,,,,,,,,,,,2.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0
23c4dddb023ba23181b00d1eb752a61a297808b2_TXTParser.java,0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0
c30bbcb8a5dfe9367777c00cf4b18d83020faefe_Parser.java,0,0.0,,,,,,,,,,,,,0.0,4.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0
a03498cc893044e1f4c01adbbfee13881b02f2db_MsWordParser.java,1,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0
