ID,Success,Real label,BooleanExchange S->F,BooleanExchange F->F,BooleanExchange F->S,BooleanExchange S->S,LoopExchange S->F,LoopExchange F->F,LoopExchange F->S,LoopExchange S->S,PermuteStatement S->F,PermuteStatement F->F,PermuteStatement F->S,PermuteStatement S->S,ReorderCondition S->F,ReorderCondition F->F,ReorderCondition F->S,ReorderCondition S->S,SwitchToIf S->F,SwitchToIf F->F,SwitchToIf F->S,SwitchToIf S->S,TryCatch S->F,TryCatch F->F,TryCatch F->S,TryCatch S->S,UnusedStatement S->F,UnusedStatement F->F,UnusedStatement F->S,UnusedStatement S->S,VariableRenaming S->F,VariableRenaming F->F,VariableRenaming F->S,VariableRenaming S->S
c539012adfee3a88c389924571d531ecf3672af3_JSVGCanvas.java,1,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
880613c7f68f909bdf0f5642c61c1963a7fe9b60_CSSUtilities.java,1,0.0,,,,,,,,,,,,,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
514241d2889bdcea3c345e2f9f42fe0775869f15_SVGFeGaussianBlurElementBridge.java,1,0.0,,,,,,,,,,,,,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0
7a89eb307bc26471bc405631d4f279899d6c45a9_GraphicsNode.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3c91eccf2617f9c5e2761a33dced40d7c0f890b_AbstractNode.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,,,
e3c91eccf2617f9c5e2761a33dced40d7c0f890b_NodeEventTarget.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6dc109f6a5cb0481d1a4b69112ca54284e8bfc9_ExtendedGeneralPath.java,1,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0
1481b682d8c4a909bee993425ab4d16ee61ee473_ViewerFrame.java,1,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,,,,,1.0,0.0,0.0,11.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,35.0
cf1cd071527c689a1c010fa9ed7142864bd5af8f_SVGBridgeContext.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf1cd071527c689a1c010fa9ed7142864bd5af8f_SVGConstants.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf1cd071527c689a1c010fa9ed7142864bd5af8f_SVGUtilities.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
017c546fa3c590afc734a6e0fdf0cb832de5b961_ConcreteAffineRable.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3fe7bd75f95aa80f4633548fcca06c669f477992_ConcreteShapeNode.java,1,0.0,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
f447fa24a32b82948dd5c566960d1e9743ccf10d_SVGUtilities.java,1,0.0,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0
3d146a6a88939d8bec2f9465da49074d95285c0f_SVGOMDocument.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92ed0961e241872195a9c59f1061729a2941402f_AbstractNode.java,1,0.0,,,,,,,,,,,,,0.0,0.0,0.0,12.0,,,,,3.0,0.0,0.0,16.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,53.0
0d8f4879ac44272f8cce769a804699c53a7c9a2f_ConcreteRenderedImageCachableRed.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20ff1dec694c7f3630c146565082aaea70d9c36d_SVGOMSVGElement.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
81003917b3f29502d2775a6c84d550f28cd28052_ConcreteRasterImageNode.java,1,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0
60ee6e9bd8b6232118ddca2d4395dfa245a03660_BridgeEventSupport.java,1,0.0,,,,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,,,,,10.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,27.0,0.0,0.0,4.0
60ee6e9bd8b6232118ddca2d4395dfa245a03660_DefaultUserAgent.java,1,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
60ee6e9bd8b6232118ddca2d4395dfa245a03660_ConcreteInterpreterPool.java,1,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
566febbebc917fd443ef50352ccee91985f58489_ViewerFrame.java,1,0.0,,,,,,,,,,,,,0.0,0.0,0.0,9.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0
566febbebc917fd443ef50352ccee91985f58489_CSSOMReadOnlyStyleDeclaration.java,1,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
566febbebc917fd443ef50352ccee91985f58489_SVGOMStyleElement.java,1,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0
566febbebc917fd443ef50352ccee91985f58489_DefaultBridgeContext.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566febbebc917fd443ef50352ccee91985f58489_JSVGCanvas.java,0,0.0,,,,,,,,,,,,,0.0,5.0,2.0,0.0,,,,,0.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,14.0,4.0,0.0
566febbebc917fd443ef50352ccee91985f58489_SVGConstants.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5992e1ea9f9596073f6d19c9b7daead7ce40c899_CSSOMReadOnlyStyleDeclaration.java,1,0.0,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0
5992e1ea9f9596073f6d19c9b7daead7ce40c899_FontWeightResolver.java,1,0.0,0.0,0.0,0.0,1.0,,,,,,,,,0.0,0.0,0.0,16.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0
5992e1ea9f9596073f6d19c9b7daead7ce40c899_VisibilityResolver.java,1,0.0,,,,,,,,,,,,,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
98590c2baf1fe3ad4f0283e4e54f1d4d4843d5e6_CSSConstants.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a7094200b28181e62633e5885922af917043e39_MaskBridge.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a7094200b28181e62633e5885922af917043e39_GraphicsNodeRenderContext.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a7094200b28181e62633e5885922af917043e39_AbstractGraphicsNode.java,1,0.0,0.0,0.0,0.0,1.0,,,,,,,,,0.0,0.0,0.0,9.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0
5a7094200b28181e62633e5885922af917043e39_StaticRenderer.java,1,0.0,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
5a7094200b28181e62633e5885922af917043e39_SVGConstants.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9d46060f651c5b3a39db1533ca790a05dbfc389_ConcreteCompositeShapePainter.java,1,0.0,,,,,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
4db4e1ef3d44f26cae3e4fef04040cd441935f5c_ViewerFrame.java,1,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,,,,,1.0,0.0,0.0,14.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,46.0
