ID,Success,Real label,BooleanExchange S->F,BooleanExchange F->F,BooleanExchange F->S,BooleanExchange S->S,LoopExchange S->F,LoopExchange F->F,LoopExchange F->S,LoopExchange S->S,PermuteStatement S->F,PermuteStatement F->F,PermuteStatement F->S,PermuteStatement S->S,ReorderCondition S->F,ReorderCondition F->F,ReorderCondition F->S,ReorderCondition S->S,SwitchToIf S->F,SwitchToIf F->F,SwitchToIf F->S,SwitchToIf S->S,TryCatch S->F,TryCatch F->F,TryCatch F->S,TryCatch S->S,UnusedStatement S->F,UnusedStatement F->F,UnusedStatement F->S,UnusedStatement S->S,VariableRenaming S->F,VariableRenaming F->F,VariableRenaming F->S,VariableRenaming S->S
e9d9d024801ecaae642da650dfbb802486e87f67_Job.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9d9d024801ecaae642da650dfbb802486e87f67_JobRunner.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9d9d024801ecaae642da650dfbb802486e87f67_JobRunnerListener.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9d9d024801ecaae642da650dfbb802486e87f67_Zql.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9d9d024801ecaae642da650dfbb802486e87f67_DummyDriver.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c26e512a55da1a0decdaae3ce270cea5df94650a_ZeppelinServer.java,0,0.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0
0d78ff0bd687b37711405963bd36e3ae02e4f520_Job.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0d78ff0bd687b37711405963bd36e3ae02e4f520_JobHistoryManager.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0d78ff0bd687b37711405963bd36e3ae02e4f520_JobResult.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0d78ff0bd687b37711405963bd36e3ae02e4f520_Zql.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
