ID,Success,Real label,BooleanExchange S->F,BooleanExchange F->F,BooleanExchange F->S,BooleanExchange S->S,LoopExchange S->F,LoopExchange F->F,LoopExchange F->S,LoopExchange S->S,PermuteStatement S->F,PermuteStatement F->F,PermuteStatement F->S,PermuteStatement S->S,ReorderCondition S->F,ReorderCondition F->F,ReorderCondition F->S,ReorderCondition S->S,SwitchToIf S->F,SwitchToIf F->F,SwitchToIf F->S,SwitchToIf S->S,TryCatch S->F,TryCatch F->F,TryCatch F->S,TryCatch S->S,UnusedStatement S->F,UnusedStatement F->F,UnusedStatement F->S,UnusedStatement S->S,VariableRenaming S->F,VariableRenaming F->F,VariableRenaming F->S,VariableRenaming S->S
11d2d6fd92acf9abc762c41e0f7b91c5acc89f4f_FollowerZooKeeperServer.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061ac279cd4785951219c1c1631c4156de913fc_JBoolean.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e655cad3c57b98be9ccd5645a712ff5a57dc0480_ZooKeeper.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ee17324ceb0fd0ace7d87c3bd095ee20c0466aa_ZooKeeper.java,0,0.0,,,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0
8ee17324ceb0fd0ace7d87c3bd095ee20c0466aa_FinalRequestProcessor.java,0,0.0,,,,,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0
8ee17324ceb0fd0ace7d87c3bd095ee20c0466aa_CommitProcessor.java,0,0.0,,,,,0.0,3.0,0.0,0.0,,,,,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0
8ee17324ceb0fd0ace7d87c3bd095ee20c0466aa_Follower.java,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,28.0,0.0
8ee17324ceb0fd0ace7d87c3bd095ee20c0466aa_FollowerRequestProcessor.java,1,0.0,,,,,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2af055275751847a8202926173a76367f6f5d853_FollowerSessionTracker.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344a30792bb30430a5949fa20ae69872c42394e0_FollowerHandler.java,0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0
344a30792bb30430a5949fa20ae69872c42394e0_FollowerZooKeeperServer.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
35ccdb8896e6d835b89ba604c595e2e760f090cb_SessionTrackerImpl.java,1,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
1153591dea3c1ca8c19e6f353dd10551c68c11c1_ZooKeeperServer.java,1,0.0,,,,,1.0,0.0,0.0,0.0,,,,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0
0b94bb84d83c77f58932ff35e3a355ef94a7e58f_Version.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4b0cc456e9c1b5ffe4bf0c666545c74ffc9664d3_Version.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d5dd1da4d144cd1ab76edda05e4faa2d6f368e3_FollowerRequestProcessor.java,1,0.0,,,,,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
688f039444b44c925b3103cd0d05102a4b7ba690_QuorumPeer.java,0,0.0,,,,,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,33.0,0.0
b01624e6f0caa19f610b110902cf7c8fb911ebfb_ZooKeeper.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7f56417f9404afb0f8975b0fe616433ab75a5de8_PurgeTxnLog.java,0,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,,,,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0
7f56417f9404afb0f8975b0fe616433ab75a5de8_SyncRequestProcessor.java,1,1.0,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,,,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
7f56417f9404afb0f8975b0fe616433ab75a5de8_Election.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7f56417f9404afb0f8975b0fe616433ab75a5de8_FastLeaderElection.java,1,1.0,,,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
7f56417f9404afb0f8975b0fe616433ab75a5de8_Follower.java,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,0.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,40.0,0.0
7f56417f9404afb0f8975b0fe616433ab75a5de8_LeaderZooKeeperServer.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,,,
95828839ca0d575c04cb9df5eee9c82052c4c460_ZooKeeperServer.java,1,0.0,,,,,1.0,0.0,0.0,0.0,,,,,11.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0
90090902302f923a98b24185a56b392ca4144e54_DataTree.java,1,1.0,,,,,,,,,,,,,0.0,0.0,0.0,7.0,,,,,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
888e0c5fc576415a7949a938bf1aad4be74984eb_FinalRequestProcessor.java,0,0.0,,,,,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0
888e0c5fc576415a7949a938bf1aad4be74984eb_NIOServerCnxn.java,1,1.0,,,,,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,55.0,,,,,3.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0
888e0c5fc576415a7949a938bf1aad4be74984eb_PrepRequestProcessor.java,0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,39.0,0.0
888e0c5fc576415a7949a938bf1aad4be74984eb_SyncRequestProcessor.java,0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0
888e0c5fc576415a7949a938bf1aad4be74984eb_DigestAuthenticationProvider.java,0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0
888e0c5fc576415a7949a938bf1aad4be74984eb_AuthFastLeaderElection.java,0,0.0,,,,,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
888e0c5fc576415a7949a938bf1aad4be74984eb_FollowerRequestProcessor.java,0,0.0,,,,,0.0,1.0,0.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
888e0c5fc576415a7949a938bf1aad4be74984eb_Leader.java,1,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,,,,,0.0,0.0,0.0,34.0,,,,,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
888e0c5fc576415a7949a938bf1aad4be74984eb_QuorumPeer.java,0,0.0,,,,,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,30.0,0.0
a6bc7d54791e73b06083996ab57fdba9340ae1aa_NIOServerCnxn.java,1,1.0,,,,,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,40.0,,,,,5.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0
a6bc7d54791e73b06083996ab57fdba9340ae1aa_QuorumCnxManager.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6bc7d54791e73b06083996ab57fdba9340ae1aa_SendAckRequestProcessor.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1e8bffbc2f3bcb28cd59b4a54568c26cf92cc8e_ZooKeeper.java,0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,25.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,154.0,0.0
e1e8bffbc2f3bcb28cd59b4a54568c26cf92cc8e_ZooKeeperServer.java,0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,28.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,144.0,0.0
e1e8bffbc2f3bcb28cd59b4a54568c26cf92cc8e_AuthFastLeaderElection.java,0,0.0,,,,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0
e1e8bffbc2f3bcb28cd59b4a54568c26cf92cc8e_QuorumPeer.java,1,1.0,,,,,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0
ffce83512370e970426f7f6b7cff8f519de59bd4_SessionTracker.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2f182cf0c095784e205b5bd63d72c73d1258297_BinaryOutputArchive.java,1,0.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
e2f182cf0c095784e205b5bd63d72c73d1258297_CsvOutputArchive.java,1,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
e2f182cf0c095784e205b5bd63d72c73d1258297_ZooKeeper.java,1,1.0,0.0,0.0,0.0,1.0,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,,,,,9.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0
e2f182cf0c095784e205b5bd63d72c73d1258297_SledgeHammer.java,1,0.0,,,,,3.0,0.0,0.0,0.0,,,,,7.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0
40823446fb2530bf8c4866ae52ebbe4134a42b3b_DataTree.java,1,1.0,,,,,,,,,,,,,0.0,0.0,0.0,21.0,,,,,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0
23e39b5a8797d2be1b1ed0420d67f26983887c84_ClientCnxn.java,1,1.0,,,,,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,,,,,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0
cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8_ZooKeeperServerMXBean.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8_LeaderBean.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8_LeaderMXBean.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8_ManagedZooKeeperServer.java,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8_ObservableZooKeeperServer.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8_ObservableLeader.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8_ConnectionObserver.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8_ObservableComponent.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8_QuorumPeerObserver.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8_ZooKeeperObserverManager.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8_Index.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8_InputArchive.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8_Utils.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8_XmlInputArchive.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8_JavaGenerator.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8_RccConstants.java,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
